"module name","license","repository"
"cryptiles@2.0.5","BSD-3-Clause","https://github.com/hapijs/cryptiles"
"css-select@1.0.0","BSD-like","https://github.com/fb55/css-select"
"css-what@1.0.0","BSD-like","https://github.com/fb55/css-what"
"cssom@0.3.0","MIT","https://github.com/NV/CSSOM"
"d@0.1.1","MIT","https://github.com/medikoo/d"
"dashdash@1.13.0","MIT","https://github.com/trentm/node-dashdash"
"datauri@0.2.1","MIT","https://github.com/heldr/datauri"
"decamelize@1.1.2","MIT","https://github.com/sindresorhus/decamelize"
"deep-extend@0.4.1","MIT","https://github.com/unclechu/node-deep-extend"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dom-serializer@0.1.0","MIT","https://github.com/cheeriojs/dom-renderer"
"domelementtype@1.1.3","BSD*","https://github.com/FB55/domelementtype"
"domelementtype@1.3.0","BSD*","https://github.com/FB55/domelementtype"
"domhandler@2.3.0","BSD*","https://github.com/fb55/DomHandler"
"domutils@1.4.3","BSD*","https://github.com/FB55/domutils"
"domutils@1.5.1","BSD*","https://github.com/FB55/domutils"
"ecc-jsbn@0.1.1","MIT","https://github.com/quartzjer/ecc-jsbn"
"entities@1.0.0","BSD-like","https://github.com/fb55/node-entities"
"entities@1.1.1","BSD-like","https://github.com/fb55/node-entities"
"es5-ext@0.10.11","MIT","https://github.com/medikoo/es5-ext"
"es6-iterator@0.1.3","MIT","https://github.com/medikoo/es6-iterator"
"es6-iterator@2.0.0","MIT","https://github.com/medikoo/es6-iterator"
"es6-symbol@2.0.1","MIT","https://github.com/medikoo/es6-symbol"
"es6-symbol@3.0.2","MIT","https://github.com/medikoo/es6-symbol"
"es6-weak-map@0.1.4","MIT","https://github.com/medikoo/es6-weak-map"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"event-emitter@0.3.4","MIT","https://github.com/medikoo/event-emitter"
"extend@3.0.0","MIT","https://github.com/justmoon/node-extend"
"extsprintf@1.0.2","MIT*","https://github.com/davepacheco/node-extsprintf"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent"
"form-data@1.0.0-rc3","MIT","https://github.com/form-data/form-data"
"generate-function@2.0.0","MIT","https://github.com/mafintosh/generate-function"
"generate-object-property@1.2.0","MIT","https://github.com/mafintosh/generate-object-property"
"graceful-readlink@1.0.1","MIT","https://github.com/zhiyelee/graceful-readlink"
"har-validator@2.0.6","ISC","https://github.com/ahmadnassri/har-validator"
"has-ansi@2.0.0","MIT","https://github.com/sindresorhus/has-ansi"
"hawk@3.1.3","BSD-3-Clause","https://github.com/hueniverse/hawk"
"hoek@2.16.3","BSD-3-Clause","https://github.com/hapijs/hoek"
"htmlparser2@3.8.3","MIT","https://github.com/fb55/htmlparser2"
"http-signature@1.1.1","MIT","https://github.com/joyent/node-http-signature"
"inherits@2.0.1","ISC","https://github.com/isaacs/inherits"
"is-absolute@0.1.7","MIT","https://github.com/jonschlinkert/is-absolute"
"is-buffer@1.1.2","MIT","https://github.com/feross/is-buffer"
"is-my-json-valid@2.13.1","MIT","https://github.com/mafintosh/is-my-json-valid"
"is-property@1.0.2","MIT","https://github.com/mikolalysenko/is-property"
"is-relative@0.1.3","MIT","https://github.com/jonschlinkert/is-relative"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isexe@1.1.2","ISC","https://github.com/isaacs/isexe"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream"
"jodid25519@1.0.2","MIT","https://github.com/meganz/jodid25519"
"jsbn@0.1.0","BSD","https://github.com/andyperlitch/jsbn"
"json-schema@0.2.2","AFLv2.1,BSD","https://github.com/kriszyp/json-schema"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"jsonpointer@2.0.0","MIT","https://github.com/janl/node-jsonpointer"
"jsprim@1.2.2","MIT","https://github.com/davepacheco/node-jsprim"
"juice@1.10.0","MIT","https://github.com/Automattic/juice"
"kind-of@3.0.2","MIT","https://github.com/jonschlinkert/kind-of"
"lazy-cache@1.0.3","MIT","https://github.com/jonschlinkert/lazy-cache"
"lodash@3.10.1","MIT","https://github.com/lodash/lodash"
"longest@1.0.1","MIT","https://github.com/jonschlinkert/longest"
"lru-cache@4.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"lru-queue@0.1.0","MIT","https://github.com/medikoo/lru-queue"
"memoizee@0.3.9","MIT","https://github.com/medikoo/memoize"
"mime-db@1.22.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.10","MIT","https://github.com/jshttp/mime-types"
"mimer@0.2.1","MIT","https://github.com/heldr/mimer"
"next-tick@0.2.2","MIT","https://github.com/medikoo/next-tick"
"node-uuid@1.4.7","MIT","https://github.com/broofa/node-uuid"
"nth-check@1.0.1","BSD","https://github.com/fb55/nth-check"
"oauth-sign@0.8.1","Apache-2.0","https://github.com/mikeal/oauth-sign"
"pinkie@2.0.4","MIT","https://github.com/floatdrop/pinkie"
"pinkie-promise@2.0.0","MIT","https://github.com/floatdrop/pinkie-promise"
"process-nextick-args@1.0.6","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"pseudomap@1.0.2","ISC","https://github.com/isaacs/pseudomap"
"qs@6.0.2","BSD-3-Clause","https://github.com/ljharb/qs"
"readable-stream@1.1.13","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@2.0.5","MIT","https://github.com/nodejs/readable-stream"
"repeat-string@1.5.4","MIT","https://github.com/jonschlinkert/repeat-string"
"request@2.69.0","Apache-2.0","https://github.com/request/request"
"right-align@0.1.3","MIT","https://github.com/jonschlinkert/right-align"
"slick@1.12.2","MIT (http://mootools.net/license.txt)","https://github.com/kamicane/slick"
"sntp@1.0.9","BSD","https://github.com/hueniverse/sntp"
"source-map@0.5.3","BSD-3-Clause","https://github.com/mozilla/source-map"
"sshpk@1.7.4","MIT","https://github.com/arekinath/node-sshpk"
"string_decoder@0.10.31","MIT","https://github.com/rvagg/string_decoder"
"stringstream@0.0.5","MIT","https://github.com/mhart/StringStream"
"strip-ansi@3.0.1","MIT","https://github.com/chalk/strip-ansi"
"supports-color@2.0.0","MIT","https://github.com/chalk/supports-color"
"templayed@0.2.3","MIT","https://github.com/heldr/node-templayed"
"timers-ext@0.1.0","MIT","https://github.com/medikoo/timers-ext"
"tough-cookie@2.2.1","BSD-3-Clause","https://github.com/SalesforceEng/tough-cookie"
"tunnel-agent@0.4.2","Apache-2.0","https://github.com/mikeal/tunnel-agent"
"tweetnacl@0.14.1","SEE LICENSE IN COPYING.txt","https://github.com/dchest/tweetnacl-js"
"uglify-js@2.6.2","BSD-2-Clause","https://github.com/mishoo/UglifyJS2"
"uglify-to-browserify@1.0.2","MIT","https://github.com/ForbesLindesay/uglify-to-browserify"
"undefined@undefined","Undefined",""
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"verror@1.3.6","MIT*","https://github.com/davepacheco/node-verror"
"web-resource-inliner@1.2.1","MIT","https://github.com/jrit/web-resource-inliner"
"which@1.2.4","ISC","https://github.com/isaacs/node-which"
"window-size@0.1.0","MIT","https://github.com/jonschlinkert/window-size"
"wordwrap@0.0.2","MIT/X11","https://github.com/substack/node-wordwrap"
"xtend@4.0.1","MIT","https://github.com/Raynos/xtend"
"yallist@2.0.0","ISC","https://github.com/isaacs/yallist"
"yargs@3.10.0","MIT","https://github.com/bcoe/yargs"
